"","","","","","perc"
"1132","SW00235",5387337,14393863,"SW",0.374280135916258
"1133","SW00236",12473829,16024865,"SW",0.778404623065467
"1134","SW00237",12939639,13376210,"SW",0.967362130229714
"1135","SW00238",7023583,14358344,"SW",0.489163861793533
"1136","SW00239",301494,8036140,"SW",0.0375172657519655
"1137","SW00240",3263952,11023445,"SW",0.296091829731994
"1138","SW00241",4432183,14097194,"SW",0.314401788043777
"1139","SW00242",3941153,9157575,"SW",0.430370813233853
"1140","SW00243",7159076,7269192,"SW",0.984851686404761
"1141","SW00244",16266928,19537177,"SW",0.832614046543162
"1142","SW00245",9671881,16726483,"SW",0.578237576901253
"1143","SW00246",3381701,7922157,"SW",0.426866193134016
"1144","SW00247",8682432,9459375,"SW",0.917865292368682
"1145","SW00248",11509890,12836391,"SW",0.896660907259681
"1146","SW00249",11853786,17561748,"SW",0.674977570569854
"1147","SW00250",18816078,20236229,"SW",0.929821361479948
"1148","SW00251",5159512,9363290,"SW",0.551036227650751
"1149","SW00252",12772209,21910080,"SW",0.582937579415502
"1150","SW00253",12097768,12849844,"SW",0.941471974290116
"1151","SW00254",10505684,10648858,"SW",0.986554990215852
"1152","SW00255",560463,8337866,"SW",0.067218998242476
"1153","SW00256",1692945,11893874,"SW",0.142337559654659
"1154","SW00257",13864336,14075559,"SW",0.984993633290159
"1155","SW00258",13189367,13355555,"SW",0.987556638417497
"1156","SW00259",1973415,11539877,"SW",0.171008321839132
"1157","SW00260",3479601,12474430,"SW",0.278938676957584
"1158","SW00261",12455425,12629343,"SW",0.986229054037094
"1159","SW00262",2815912,10910994,"SW",0.258080244568002
"1160","SW00263",893956,13409106,"SW",0.0666678300551879
"1161","SW00264",2169614,10448970,"SW",0.207639030449891
"1162","SW00265",12741115,13944489,"SW",0.913702538687506
"1163","SW00266",6532686,14302939,"SW",0.456737318113431
"1164","SW00267",4625121,9025020,"SW",0.512477645478902
"1165","SW00268",12327932,12492117,"SW",0.986856911442632
"1166","SW00269",10057059,10239174,"SW",0.982213897331953
"1167","SW00270",15076745,17545520,"SW",0.859293141497089
"1168","SW00271",9837946,13489108,"SW",0.729325171093596
"1169","SW00272",13118919,15650644,"SW",0.838235091156632
"1170","SW00273",8012967,19490719,"SW",0.411117055250758
"1171","SW00274",784812,10311052,"SW",0.0761136690999134
"1172","SW00275",1280516,12190392,"SW",0.105043053578589
"1173","SW00276",8295114,10754415,"SW",0.771321731586516
"1174","SW00279",720497,10351329,"SW",0.0696042991194657
"1175","SW00280",10862934,13495694,"SW",0.804918516972895
"1176","SW00281",9678509,9793355,"SW",0.988273068830855
"1177","SW00282",4658194,11970657,"SW",0.38913436413724
"1178","SW00283",10204792,14389976,"SW",0.709159765103152
"1179","SW00285",611712,14982561,"SW",0.0408282669431481
"1180","SW00286",4605291,9150674,"SW",0.503273420078128
"1181","SW00287",1870303,10550455,"SW",0.17727225982197
"1182","SW00288",429562,13523034,"SW",0.0317652089020851
"1183","SW00289",2862452,16870364,"SW",0.169673398866794
"1184","SW00290",4485092,12378135,"SW",0.362339883997064
"1185","SW00291",1184199,8560343,"SW",0.138335461558024
"1186","SW00292",4979656,11790374,"SW",0.422349282558806
"1187","SW00293",10902616,11430094,"SW",0.953851823090869
"1188","SW00294",4862666,12115916,"SW",0.401345304804028
"1189","SW00295",5900444,15009288,"SW",0.393119513730431
"1190","SW00296",17453768,17990954,"SW",0.970141327691683
"1191","SW00297",7103866,14635519,"SW",0.485385314999762
"1192","SW00298",8682600,9575127,"SW",0.906786928256931
"1193","SW00299",498460,11569400,"SW",0.0430843431811503
"1194","SW00300",1803733,9254160,"SW",0.194910505113376
"1195","SW00301",5671330,20771731,"SW",0.273031169140405
"1196","SW00302",2133557,13391874,"SW",0.159317284496554
"1197","SW00303",4759742,12513144,"SW",0.380379383470693
"1198","SW00304",14558503,14941748,"SW",0.974350725229739
"1199","SW00305",6383376,10084690,"SW",0.632976918477415
"1200","SW00306",1072330,9507524,"SW",0.112787514393863
"1201","SW00308",13107420,13181004,"SW",0.994417420706344
"1202","SW00309",10317502,10501425,"SW",0.982485900722997
"1203","SW00310",8677331,13481625,"SW",0.643641326620493
"1204","SW00311",14027246,15059635,"SW",0.931446612085884
"1205","SW00312",7636970,9278269,"SW",0.823102886971697
"1206","SW00314",7044327,12173901,"SW",0.578641718870558
"1207","SW00316",638141,18699612,"SW",0.0341258952324786
"1208","SW00317",4956144,9919544,"SW",0.499634257381186
"1209","SW00318",2711565,14058944,"SW",0.192871171547451
"1210","SW00319",3023429,15721486,"SW",0.192311909955586
"1211","SW00321",4468442,13010374,"SW",0.343452232810525
"1212","SW00322",18924197,20661276,"SW",0.915925860532525
"1213","SW00323",19503807,21357801,"SW",0.913193591418892
"1214","SW00324",5286363,7011325,"SW",0.753974890623384
"1215","SW00325",5330848,11644331,"SW",0.457806292177713
"1216","SW00326",9010186,9901842,"SW",0.909950492039764
"1217","SW00328",4668049,15860183,"SW",0.294325040259624
"1218","SW00329",7561599,15443464,"SW",0.489631018015129
"1219","SW00331",1088268,10934225,"SW",0.0995285902750309
"1220","SW00333",9860980,15107275,"SW",0.652730555311928
"1221","SW00334",12798684,15002148,"SW",0.853123432724434
"1222","SW00335",9508796,10269908,"SW",0.925889112151735
"1223","SW00337",2248309,13199862,"SW",0.170328220098059
"1224","SW00338",2440978,7185355,"SW",0.339715713419866
"1225","SW00339",12145715,13175528,"SW",0.92183895780116
"1226","SW00340",7718689,8772835,"SW",0.879839755335647
"1227","SW00341",10431677,18039655,"SW",0.578263664133266
"1228","SW00342",7349113,14084834,"SW",0.521774910517227
"1229","SW00343",1278433,9772818,"SW",0.130815185548324
